ambaḷam	temple
aazhca	week
ivriṭe	here
deevam	god
iicca	house fly
ucca	noon
uppü	salt
uuṇü	meal
eṇṇü	oil
eṭü	8
eezhü	7
eetü?	which?
onnü	one
oppü	signature
oormma	memory
oorma illa	I don't remember
oorma undoo?	Do you remember?
kaṭel	sea
mukham	face
gaanam	traditional song
cakka	jackfruit
paaṭṭü	pop song
cantü	market
koraca	a little
citram	picture
jiivin	life
jooli	job
jayikkuka	to win
janal	window
jhaSHam	fish
ñaan	I (with copular phrase)
mañña	yellow
kaaṭü	forest
kiṭakka	bed
viiṭü	house
naaṭü	country
paaṭham	lesson
paṇam	money
maṇi	bell
maṇam	a smell
taamara	lotus
tiiyati	date
sthalam	place
divasam	day
madhuu	honey
dhaaraaLam	a lot of
I'm sorry	cemikkanam
അ	a
ആ	aa
ഇ	i
ഈ	ii
ഉ	u
ഊ	uu
എ	e
ഏ	ee
ഒ	o
ഓ	oo
ഐ	ai
ഔ	au
അം	am
ക	ka
ഖ	kha
ഗ	ga
ഘ	gha
ങ	ṅa
ച	ca
ഛ	cha
ജ	ja
ഝ	jha
ഞ	ña
ട	ṭa
ഠ	ṭha
ഡ	ḍa
ഢ	ḍha
ണ	ṇa
ത	ta
ഥ	tha
ദ	da
ധ	dha
ന	na
പ	pa
ഫ	fa
ബ	ba
ഭ	bha
മ	ma
യ	ya
ര	ra
ല	la
വ	va
ശ	sha
ഷ	SHa
സ	sa
ഹ	ha
ള	La
ഴ	zha
റ	Ra
ൺ	il
ൻ	in
ർ	ir
ൽ	il
ൾ	iL
ൿ	ik
aarü?	who?
eviṭe?	where?
entü?	what?
eppooL?	when?
eṅane?	how?
etra?	how many/much?
maṇi etra aayi?	what time is it?
aaruṭe?	whose?
eetü?	which?
iṭe aaruṭe veLLam aanü?	whose water is this?
sukham anoo?	how are you?
sukham aanü	I'm well
varuu	please come
irikkyuu	please sit
paRayuu	please say
kaanaam	see ya
pinne kaanaam	see you soon
viinṭum paRayuu	please say again
patukke paRayuu	please say slowly
meesha	table
kaseera	chair
peena	pen
vidyaalayam	school
assupatri	hospital
paLLi	church
kaṭa	shop
ñangaL	we
nii	you (singular, informal)
ningaL	you (plural or singular honorific)
ivan / avan	he (informal)
ivaL / avaL	she (informal)
avaR	they or she honorific
ayaaL	he (honorific)
addheeham / iddeeham	he (most honorific)
atü	that one
itü	this one
tarunnü	medicine (modern)
kazhikkaan	to eat
aRiyillee?	Don't you know?
aRiyaam	I know
tayyaaraṇoo?	ready?
tayyaara	ready
umma	kiss
makil	daughter
peena tarumoo	please hand me the pen
enike visheppü undü	I'm hungry
enike visheppü illa	I'm not hungry
makin	son
ningal–uṭe	your (honorific)
ninṭe (short i)	your (informal)
stri	woman
bhaaria	wife
bhrettaavü	husband
pazham	banana
onnumilla	nothing
entü visheesham?	what's new?
sherri annoo?	Is it right?
sherri	correct
ninggaLkkoo?	and you?
ate	yes
maṭiyoo?	enough?
koLLaamoo?	Is it good?
nala	good
naalü	4
tala	head
accan	father
amma	mother
aama	tortoise
caaya	chai tea
mukham	face
mukha	nose
kaana	eye
pustakam	book
venda	I don't want
ippooL	now
vaLLam venoo?	Do you want water?
veLLam veenam	I want water
cooRü	cooked rice
aahaaram	food
kutumbam	family
ente peerü _________ annü	My name is ________
this ______	i _____
that ______	a_________
ni poo	get lost
nale	tomorrow
nale kaanaam	see you tomorrow
innale	yesterday
innü	today
pucca	cat
patti	dog
kutti	child
mootiram	ring
teng–a	coconut
maañña	mango
pacca	green
kuuttukaaran	male friend
kuuttukaari	female friend
kuppi	bottle
kuppil veLLam	bottled water
vazhi	way
eetü vazhi?	which way?
iTatü	left
valatü	right
veLLi	Friday or Silver
swarnnam	gold
swarna	golden
ciri	to smile
niRam	color
bharatam	India
pashu	milking cow
katanilkoo	please wait
back pain	നടു വേദന

